OBJECTID,Station Name,Address,Address2,City,State,Zip,Contact,Contact Title,Phone,Email,Up Date,x,y
1,NEW YORK CITY FIRE DEPARTMENT LADDER 76 ENGINE 151 THAWING APPARATUS 63,7219 AMBOY ROAD, ,STATEN ISLAND,NY,10307,,,718-494-4251,,,564474.894073538,4484946.05031032
2,NEW YORK CITY FIRE DEPARTMENT LADDER 84 ENGINE 164 BRUSH FIRE UNIT 1,1560 DRUMGOOLE ROAD WEST, ,STATEN ISLAND,NY,10312,,,718-494-4264,,,568085.697947654,4487495.85009045
3,NEW YORK CITY FIRE DEPARTMENT BATTALION 23 LADDER 82 ENGINE 162,256 NELSON AVENUE, ,STATEN ISLAND,NY,10308,,,718-494-4262,,,572202.94297036,4488386.50217528
4,ARTHUR KILL CORRECTIONAL FACILITY FIRE RESPONSE TEAM,2911 ARTHUR KILL ROAD, ,STATEN ISLAND,NY,10309,,,718-356-7333,,,565476.693508088,4488887.46107803
5,NEW YORK CITY FIRE DEPARTMENT ENGINE 168,1100 ROSSVILLE AVENUE, ,STATEN ISLAND,NY,10309,,,718-494-4268,,,566625.394548524,4489539.00239543
6,NEW YORK CITY FIRE DEPARTMENT LADDER 87 ENGINE 167 FOAM APPARATUS 85,345 ANNADALE ROAD, ,STATEN ISLAND,NY,10312,,,718-494-4267,,,569808.955519974,4489595.86845894
7,ROCKAWAY POINT VOLUNTEER FIRE AND RESCUE,204-26 ROCKAWAY POINT BOULEVARD, ,BREEZY POINT,NY,11697,,,718-474-2593,,,591925.514810917,4490618.108798
8,ROXBURY VOLUNTEER FIRE DEPARTMENT,42 STATE ROAD, ,ROCKAWAY POINT,NY,11697,,,718-474-9382,,,593899.757667943,4491149.46381734
9,NEW YORK CITY FIRE DEPARTMENT ENGINE 329,402 BEACH 169TH STREET, ,BREEZY POINT,NY,11697,,,718-476-6229,,,594680.671812783,4491181.98211552
10,NEW YORK CITY FIRE DEPARTMENT LADDER 85 ENGINE 165,3067 RICHMOND ROAD, ,STATEN ISLAND,NY,10306,,,718-494-4265,,,574167.696023756,4492067.14682267
11,NEW YORK CITY FIRE DEPARTMENT BATTALION 43 ENGINE 245 LADDER 161,2929 WEST 8TH STREET, ,BROOKLYN,NY,11224,,,718-965-8343,,,586660.868803959,4492232.99265013
12,NEW YORK CITY FIRE DEPARTMENT ENGINE 318 LADDER 166,2510 NEPTUNE AVENUE, ,BROOKLYN,NY,11224,,,718-965-8318,,,585228.239454961,4492372.62504075
13,NEW YORK CITY FIRE DEPARTMENT LADDER 137 ENGINE 268,257 BEACH 116TH STREET, ,ROCKAWAY PARK,NY,11694,,,718-476-6268,,,598330.817992487,4492877.08082033
14,NEW YORK CITY FIRE DEPARTMENT ENGINE 246 LADDER 169,2732 EAST 11TH STREET, ,BROOKLYN,NY,11235,,,718-965-8246,,,588063.364495383,4493128.80448361
15,NEW YORK CITY FIRE DEPARTMENT ENGINE 266 BRUSH FIRE UNIT 7,92-20 ROCKAWAY BEACH BOULEVARD, ,FAR ROCKAWAY,NY,11693,,,718-476-6266,,,600172.224984382,4493511.2587821
16,GERRITTSEN BEACH VOLUNTEER FIRE DEPARTMENT,52 SEBA AVENUE, ,BROOKLYN,NY,11229,,,718-332-9292,,,591218.256307962,4493604.41530722
17,NEW YORK CITY FIRE DEPARTMENT ENGINE 159 SATELLITE 5,1592 RICHMOND ROAD, ,STATEN ISLAND,NY,10304,,,718-494-4259,,,576105.049337762,4493707.71307172
18,LONG BEACH FIRE DEPARTMENT STATION 2,1039 WEST PARK AVENUE, ,LONG BEACH,NY,11561,,,516-431-2434,,,610271.926636072,4493901.05284192
19,POINT LOOKOUT - LIDO FIRE DEPARTMENT STATION 2,LIDO BOULEVARD AND REGENT DRIVE, ,LIDO BEACH,NY,11561,,,516-432-6636,,,615975.04305235,4493914.61210791
20,LONG BEACH FIRE DEPARTMENT STATION 1,300 MAPLE BOULEVARD, ,LONG BEACH,NY,11561,,,516-431-2434,,,615265.634434425,4493953.79009082
21,NEW YORK CITY FIRE DEPARTMENT DIVISION 5,460 BRIELLE AVENUE, ,STATEN ISLAND,NY,10314,,,718-979-7175,,,573186.277018106,4494035.24453323
22,NEW YORK CITY FIRE DEPARTMENT STATION 22 - WILLOWBROOK,460 BRIELLE AVENUE, ,STATEN ISLAND,NY,10314,,,718-979-9811,,,573187.14814129,4494036.55928693
23,LONG BEACH FIRE DEPARTMENT - HEADQUARTERS,1 WEST CHESTER STREET, ,LONG BEACH,NY,11561,,,516-431-2434,,,612859.694103298,4494048.97584706
24,ATLANTIC BEACH FIRE RESCUE - HEADQUARTERS,1 RESCUE ROAD, ,ATLANTIC BEACH,NY,11509,,,516-371-2348,,,606909.449074326,4494211.59256495
